#,קוד פריט,ספק,קטגוריה,שם מוצר,תיאור,יחידה,מחיר אר-אל,מחיר לאחר הנחה,תיאור נוסף,
300,324281,נתון חסר,חומרי ניקוי,SA800 מסיר שומנים לתעשייה 18 ליטר,גלון בודד,יח',0,0,,
144,212527,נתון חסר,מוצרי נייר,נייר טואלט קומפקט 80 תאית דו שכבתי 80 מ' ,ארוז 36 גלילים,יח',0,0,,
494,711120,נתון חסר,חומרי ניקוי,אקונומיקה 4 ליטר מבושמת סמיכה,ארוז 6 גלונים,יח',0,0,,
269,320180,נתון חסר,חומרי ניקוי,אקונומיקה איכותית 4 ליטר,ארוז 4 גלונים,יח',0,0,,
458,711021,נתון חסר,מסעדנות,"בוחשני עץ לקפה 18 ס""מ כ*1000 יח' באריזה",ארוז 1000 יח',יח',0,0,,
459,711022,נתון חסר,מסעדנות,בוחשני קוקטיל ארוז 100 יח',ארוז 100 יח',יח',0,0,,
473,711052,נתון חסר,אביזרי ניקיון,בקבוק מרסס מקצועי 1 ליטר,בודד,יח',0,0,,
284,3242423,נתון חסר,חומרי ניקוי,משחת ידיים למוסכים כולל משאבה BIG ORANGE,ארוז 2 יח',יח',0,0,,
460,711030,נתון חסר,מסעדנות,"גביע מרקייה - אור 500 מ""ל עם מכסה בקרת פתיחה",ריק,יח',0,0,,
282,324224,נתון חסר,חומרי ניקוי,גלון אלכוהול PRO903K 70% לחיטוי משטחים,ריק,יח',0,0,,
304,324299,נתון חסר,חומרי ניקוי,גלון סבון רצפה ריחני במיוחד PRO99,ארוז 4 גלונים,יח',0,0,,
275,320186,נתון חסר,חומרי ניקוי,חומצת מלח 32% גלון 4 ליטר ,ארוז 4 גלונים,יח',0,0,,
272,320182,נתון חסר,חומרי ניקוי,אקונומיקה ריחנית סופר פרימיום גלון 4 ליטר,ארוז 6 גלונים,יח',0,0,,
289,324251,נתון חסר,חומרי ניקוי,נוזל לניקוי חלונות גלון 4 ליטר,ארוז 4 גלונים,יח',0,0,,
293,3242610,נתון חסר,חומרי ניקוי,נוזל לניקוי רצפות בריח אורנים גלון 4 ליטר ,ארוז 4 גלונים,יח',0,0,,
286,324245,נתון חסר,חומרי ניקוי,מסיר שומנים גלון 4 ליטר  ,ארוז 4 גלונים,יח',0,0,,
253,3101623,נתון חסר,שונות,מרכך שיער גלון 4 ליטר,ארוז 4 גלונים,יח',0,0,,
258,310167,נתון חסר,שונות,סבון גוף מחוזק גלון 4 ליטר,ארוז 4 גלונים,יח',0,0,,
245,31016011,נתון חסר,חומרי ניקוי,סבון ידיים פרימיום PRO400 גלון 4 ליטר,ארוז 4 גלונים,יח',0,0,,
256,3101661,נתון חסר,חומרי ניקוי,סבון ידיים מעודן גלון 4 ליטר,ארוז 4 גלונים,יח',0,0,,
251,3101618,נתון חסר,חומרי ניקוי,סבון כלים 18% גלון 4 ליטר,ארוז 4 גלונים,יח',0,0,,
260,310175,נתון חסר,חומרי ניקוי,סבון קצף לידיים שקוף איכותי במיוחד עם חומר הגנה לידיים לסבונייה - גלון 4 ליטר ,ריק,יח',0,0,,
259,310172,נתון חסר,שונות,שמפו לשיער גלון 4 ליטר ,ארוז 4 גלונים,יח',0,0,,
480,7111002,נתון חסר,מוצרי נייר,גלילי נייר טרמי למסוף אשראי ,ארוז 100 גלילים,יח',0,0,,
445,711001,נתון חסר,מוצרי נייר,גלילי נייר טרמי לקופה 80/80,ארוז 60 גלילים,יח',0,0,,
607,927001,נתון חסר,אביזרי ניקיון,דלי שחור 10 ליטר ,בודד,יח',0,0,,
608,927003,נתון חסר,אביזרי ניקיון,דלי פרימיום 15 ליטר פיית משפך,בודד,יח',0,0,,
216,232260,נתון חסר,אביזרי ניקיון,דלי מגבוני חיטוי מבד ויסקוזה  אלכוהול  70 אחוז   1/400 מטליות,בודד,יח',0,0,,
217,23259,נתון חסר,אביזרי ניקיון,דלי מגבונים 1/400 ONE לניקוי וחיטוי משטחים,בודד,יח',0,0,,
